Metabolite	Number of neighbors	All_n	AvgAbsPearson	Z-score	P-value	Consumed_n	Consumed_AvgAbsPearson	Consumed_Z-score	Consumed_P-value	Produced_n	Produced_AvgAbsPearson	Produced_Z-score	Produced_P-value	cross_n	Cross_AvgAbsPearson	Cross_Z-score	Cross_P-value	positive_n	positive_Pearson	positive_Z-score	positive_P-value	Consumed_positive_n	Consumed_positive_Pearson	Consumed_positive_Z-score	Consumed_positive_P-value	Produced_positive_n	Produced_positive_Pearson	Produced_positive_Z-score	Produced_positive_P-value	Cross_positive_n	Cross_positive_Pearson	Cross_positive_Z-score	Cross_positive_P-value	negative_n	negative_Pearson	negative_Z-score	negative_P-value	Consumed_negative_n	Consumed_negative_Pearson	Consumed_negative_Z-score	Consumed_negative_P-value	Produced_negative_n	Produced_negative_Pearson	Produced_negative_Z-score	Produced_negative_P-value	Cross_negative_n	Cross_negative_Pearson	Cross_negative_Z-score	Cross_negative_P-value
S-adenosyl-L-homocysteine C14H20N6O5s	5	10	0.407233	0.266507	0.394924	NC	NC	NC	NC	6	0.355662	-0.255181	0.600708	4	0.484589	0.770384	0.220536	7	0.463037	0.42766	0.334449	NC	NC	NC	NC	5	0.397591	-0.180689	0.571694	2	0.626652	1.17207	0.120585	3	-0.277023	-0.328228	0.62863	NC	NC	NC	NC	1	-0.146018	-0.616912	0.731354	2	-0.342525	0.00978001	0.496098
L-homocysteine C4H9NO2s	2	1	0.084655	-1.19218	0.883404	NC	NC	NC	NC	NC	NC	NC	NC	1	0.084655	-1.19218	0.883404	1	0.084655	-1.29569	0.902458	NC	NC	NC	NC	NC	NC	NC	NC	1	0.084655	-1.29569	0.902458	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
adenosine C10H13N5O4	2	1	0.882443	2.07041	0.0192071	NC	NC	NC	NC	1	0.882443	2.07041	0.0192071	NC	NC	NC	NC	1	0.882443	1.96278	0.024836	NC	NC	NC	NC	1	0.882443	1.96278	0.024836	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
L-methionine C5H11NO2s	5	10	0.318894	-0.362984	0.641692	1	0.577638	0.807721	0.209625	3	0.186997	-0.922299	0.821814	6	0.341719	-0.155146	0.561647	6	0.31278	-0.630717	0.735887	0	-10000	-1.#IND	1.#QNAN	2	0.191553	-0.888094	0.812755	4	0.373394	-0.193263	0.576624	4	-0.328066	0.130428	0.448114	1	-0.577638	0.892485	0.186066	1	-0.177885	-0.459621	0.677106	2	-0.27837	-0.1037	0.541296
S-adenosyl-L-methionine C15H23N6O5s	7	21	0.369956	0.120696	0.451966	15	0.374578	0.0963783	0.46161	NC	NC	NC	NC	6	0.358401	0.083884	0.466574	13	0.405136	0.111976	0.455421	9	0.438442	0.321317	0.373985	NC	NC	NC	NC	4	0.330195	-0.290223	0.614177	8	-0.312788	-0.0290157	0.511574	6	-0.27878	-0.285828	0.612495	NC	NC	NC	NC	2	-0.414812	0.462274	0.321942
10-formyl-tetrahydrofolate C20H24N7O7	5	10	0.516483	1.5098	0.0655478	6	0.669489	2.60517	0.00459148	NC	NC	NC	NC	4	0.286974	-0.738009	0.769746	4	0.573119	1.27649	0.100891	3	0.741503	2.2778	0.0113693	NC	NC	NC	NC	1	0.0679676	-1.44409	0.925644	6	-0.478725	1.11917	0.131534	3	-0.597475	1.58204	0.05682	NC	NC	NC	NC	3	-0.359976	0.0598802	0.476126
L-methionyl-tRNAmet	2	1	0.189297	-0.563102	0.713317	NC	NC	NC	NC	NC	NC	NC	NC	1	0.189297	-0.563102	0.713317	1	0.189297	-0.667405	0.747743	NC	NC	NC	NC	NC	NC	NC	NC	1	0.189297	-0.667405	0.747743	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
HCO3- CHO3	3	3	0.470368	0.709973	0.23886	3	0.470368	0.709973	0.23886	NC	NC	NC	NC	NC	NC	NC	NC	1	0.211518	-0.566506	0.714475	1	0.211518	-0.566506	0.714475	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.599793	1.32881	0.0919551	2	-0.599793	1.32881	0.0919551	NC	NC	NC	NC	NC	NC	NC	NC
N-carbamoyl-L-aspartate C5H8N2O5	3	3	0.786916	2.57604	0.00499695	NC	NC	NC	NC	3	0.786916	2.57604	0.00499695	NC	NC	NC	NC	1	0.685749	1.06799	0.142761	NC	NC	NC	NC	1	0.685749	1.06799	0.142761	NC	NC	NC	NC	2	-0.8375	2.52536	0.00577898	NC	NC	NC	NC	2	-0.8375	2.52536	0.00577898	NC	NC	NC	NC
dihydroorotate C5H6N2O4	3	3	0.647553	1.78104	0.0374533	3	0.647553	1.78104	0.0374533	NC	NC	NC	NC	NC	NC	NC	NC	1	0.543178	0.590501	0.277427	1	0.543178	0.590501	0.277427	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.699741	1.87392	0.0304706	2	-0.699741	1.87392	0.0304706	NC	NC	NC	NC	NC	NC	NC	NC
orotate C5H4N2O4	2	1	0.211518	-0.462079	0.677988	NC	NC	NC	NC	1	0.211518	-0.462079	0.677988	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.211518	-0.311899	0.622441	NC	NC	NC	NC	1	-0.211518	-0.311899	0.622441	NC	NC	NC	NC
orotidine-5'-phosphate C10H13N2O11P	2	1	0.0996781	-1.07623	0.859089	1	0.0996781	-1.07623	0.859089	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0996781	-0.894414	0.81445	1	-0.0996781	-0.894414	0.81445	NC	NC	NC	NC	NC	NC	NC	NC
UMP C9H13N2O9P	6	15	0.336538	-0.561905	0.71291	6	0.310474	-0.564073	0.713648	1	0.484922	0.510136	0.304978	8	0.337538	-0.480938	0.68472	9	0.353148	-0.642648	0.739774	3	0.362224	-0.15116	0.560075	1	0.484922	0.404478	0.342931	5	0.321348	-0.945647	0.827836	6	-0.311622	-0.190746	0.575638	3	-0.258723	-0.618955	0.732027	0	-10000	-1.#IND	1.#QNAN	3	-0.364521	0.339115	0.367262
UDP C9H14N2O12P2	5	10	0.34171	-0.464238	0.678761	NC	NC	NC	NC	6	0.368492	-0.123962	0.549327	4	0.301536	-0.625922	0.734317	6	0.424305	0.0764675	0.469524	NC	NC	NC	NC	3	0.575347	1.12379	0.130551	3	0.273263	-1.01062	0.8439	4	-0.217817	-0.894761	0.814543	NC	NC	NC	NC	3	-0.161637	-1.21627	0.888059	1	-0.386357	0.306999	0.379422
uracil C4H4N2O2	2	1	0.618962	0.94387	0.172618	NC	NC	NC	NC	1	0.618962	0.94387	0.172618	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.618962	1.02162	0.15348	NC	NC	NC	NC	1	-0.618962	1.02162	0.15348	NC	NC	NC	NC
UTP C9H15N2O15P3	8	28	0.431139	0.92889	0.176473	15	0.374596	0.136301	0.445792	1	0.660983	1.08701	0.138516	12	0.482665	1.08557	0.138834	19	0.45562	0.952506	0.17042	9	0.378524	0.0800203	0.468111	1	0.660983	0.980625	0.163389	9	0.509898	1.09055	0.137735	9	-0.379457	0.0977564	0.461063	6	-0.368703	0.0747006	0.470226	0	-10000	-1.#IND	1.#QNAN	3	-0.400967	0.0698698	0.472149
CTP C9H16N3O14P3	8	28	0.421621	0.675185	0.249779	15	0.403968	0.233252	0.407783	1	0.231628	-0.375892	0.646501	12	0.459519	0.920158	0.178745	23	0.485848	1.35153	0.0882624	13	0.447336	0.492727	0.311103	1	0.231628	-0.480431	0.68454	9	0.569722	1.82982	0.0336383	5	-0.126175	-2.03577	0.979113	2	-0.122073	-1.36796	0.914337	0	-10000	-1.#IND	1.#QNAN	3	-0.12891	-1.60703	0.945977
dUDP C9H14N2O11P2	4	6	0.558024	1.41745	0.0781764	3	0.413449	0.0171948	0.493141	NC	NC	NC	NC	3	0.702598	2.08585	0.0184963	6	0.558024	1.19596	0.115855	3	0.413449	-0.151993	0.560404	NC	NC	NC	NC	3	0.702598	1.92208	0.0272976	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
dUTP C9H15N2O14P3	3	3	0.613253	1.48748	0.0684438	NC	NC	NC	NC	1	0.660983	1.08701	0.138516	2	0.589388	1.14097	0.126941	1	0.660983	0.980625	0.163389	NC	NC	NC	NC	1	0.660983	0.980625	0.163389	0	-10000	0	0.5	2	-0.589388	1.26671	0.10263	NC	NC	NC	NC	0	-10000	-1.#IND	1.#QNAN	2	-0.589388	1.26671	0.10263
dUMP C9H13N2O8P	2	1	0.73615	1.36258	0.086507	NC	NC	NC	NC	NC	NC	NC	NC	1	0.73615	1.36258	0.086507	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.73615	1.41876	0.0779842	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.73615	1.41876	0.0779842
thioredoxin	9	36	0.441996	1.22031	0.111174	15	0.536669	1.99365	0.0230952	3	0.213249	-1.44007	0.925077	18	0.401225	0.532784	0.297091	30	0.48955	1.56832	0.0584028	13	0.609089	2.49711	0.00626057	3	0.213249	-1.61308	0.946637	14	0.437756	0.693878	0.243879	6	-0.204223	-1.31207	0.905252	2	-0.0659358	-1.58791	0.943847	0	-10000	-1.#IND	1.#QNAN	4	-0.273367	-0.559475	0.712081
thioredoxin disulfide	9	36	0.441996	1.22031	0.111174	3	0.213249	-1.44007	0.925077	15	0.536669	1.99365	0.0230952	18	0.401225	0.532784	0.297091	30	0.48955	1.56832	0.0584028	3	0.213249	-1.61308	0.946637	13	0.609089	2.49711	0.00626057	14	0.437756	0.693878	0.243879	6	-0.204223	-1.31207	0.905252	0	-10000	-1.#IND	1.#QNAN	2	-0.0659358	-1.58791	0.943847	4	-0.273367	-0.559475	0.712081
dTMP C10H15N2O8P	2	1	0.724572	1.31795	0.0937594	NC	NC	NC	NC	NC	NC	NC	NC	1	0.724572	1.31795	0.0937594	1	0.724572	1.21128	0.112895	NC	NC	NC	NC	NC	NC	NC	NC	1	0.724572	1.21128	0.112895	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
RNAn1	5	10	0.31986	-0.714877	0.762658	NC	NC	NC	NC	6	0.359092	0.106706	0.457511	4	0.26101	-1.3387	0.909666	9	0.330953	-0.914229	0.819702	NC	NC	NC	NC	5	0.386906	0.0784515	0.468734	4	0.26101	-1.53533	0.937649	1	-0.220022	-0.276808	0.609036	NC	NC	NC	NC	1	-0.220022	-0.276808	0.609036	0	-10000	0	0.5
RNAn	5	10	0.31986	-0.714877	0.762658	6	0.359092	0.106706	0.457511	NC	NC	NC	NC	4	0.26101	-1.3387	0.909666	9	0.330953	-0.914229	0.819702	5	0.386906	0.0784515	0.468734	NC	NC	NC	NC	4	0.26101	-1.53533	0.937649	1	-0.220022	-0.276808	0.609036	1	-0.220022	-0.276808	0.609036	NC	NC	NC	NC	0	-10000	0	0.5
CDP C9H15N3O11P2	5	10	0.34171	-0.464238	0.678761	NC	NC	NC	NC	6	0.368492	-0.123962	0.549327	4	0.301536	-0.625922	0.734317	6	0.424305	0.0764675	0.469524	NC	NC	NC	NC	3	0.575347	1.12379	0.130551	3	0.273263	-1.01062	0.8439	4	-0.217817	-0.894761	0.814543	NC	NC	NC	NC	3	-0.161637	-1.21627	0.888059	1	-0.386357	0.306999	0.379422
CMP C9H14N3O8P	3	3	0.38205	0.216793	0.414185	1	0.12774	-0.889975	0.81326	NC	NC	NC	NC	2	0.509205	0.872911	0.191356	2	0.534274	0.976327	0.164451	1	0.12774	-0.993864	0.839856	NC	NC	NC	NC	1	0.940807	2.43888	0.00736643	1	-0.0776023	-1.06111	0.855681	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	1	-0.0776023	-1.06111	0.855681
dCDP C9H15N3O10P2	4	6	0.342015	-0.398278	0.654787	3	0.413449	0.0171948	0.493141	NC	NC	NC	NC	3	0.27058	-0.608114	0.728444	3	0.413449	-0.151993	0.560404	3	0.413449	-0.151993	0.560404	NC	NC	NC	NC	0	-10000	0	0.5	3	-0.27058	-0.380643	0.648266	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	3	-0.27058	-0.380643	0.648266
dCTP C9H16N3O13P3	8	28	0.418793	1.07645	0.140863	21	0.401544	0.704666	0.240509	NC	NC	NC	NC	7	0.470541	1.05271	0.146238	17	0.466659	1.20456	0.114186	12	0.419837	0.529236	0.298321	NC	NC	NC	NC	5	0.579031	1.53852	0.0619606	11	-0.34482	0.217022	0.414095	9	-0.377154	0.496102	0.309911	NC	NC	NC	NC	2	-0.199318	-0.582597	0.719918
dCMP C9H14N3O7P	2	1	0.12774	-0.889975	0.81326	1	0.12774	-0.889975	0.81326	NC	NC	NC	NC	NC	NC	NC	NC	1	0.12774	-0.993864	0.839856	1	0.12774	-0.993864	0.839856	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
DNAn	6	15	0.355712	0.0797944	0.4682	15	0.355712	0.0797944	0.4682	NC	NC	NC	NC	NC	NC	NC	NC	7	0.381774	0.138258	0.445018	7	0.381774	0.138258	0.445018	NC	NC	NC	NC	NC	NC	NC	NC	8	-0.332907	0.0860386	0.465718	8	-0.332907	0.0860386	0.465718	NC	NC	NC	NC	NC	NC	NC	NC
DNAn1	6	15	0.355712	0.0797944	0.4682	NC	NC	NC	NC	15	0.355712	0.0797944	0.4682	NC	NC	NC	NC	7	0.381774	0.138258	0.445018	NC	NC	NC	NC	7	0.381774	0.138258	0.445018	NC	NC	NC	NC	8	-0.332907	0.0860386	0.465718	NC	NC	NC	NC	8	-0.332907	0.0860386	0.465718	NC	NC	NC	NC
dTDP C10H16N2O11P2	2	1	0.824321	1.74522	0.0404732	NC	NC	NC	NC	NC	NC	NC	NC	1	0.824321	1.74522	0.0404732	1	0.824321	1.638	0.0507106	NC	NC	NC	NC	NC	NC	NC	NC	1	0.824321	1.638	0.0507106	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
dTTP C10H17N2O14P3	7	21	0.379452	0.43703	0.331045	15	0.355712	0.0797944	0.4682	NC	NC	NC	NC	6	0.438801	0.757211	0.224462	11	0.446054	0.83941	0.20062	7	0.381774	0.138258	0.445018	NC	NC	NC	NC	4	0.558542	1.29784	0.0971707	10	-0.306189	-0.163207	0.564822	8	-0.332907	0.0860386	0.465718	NC	NC	NC	NC	2	-0.199318	-0.582597	0.719918
5-phospho-beta-D-ribosyl-amine C5H12NO7P	2	1	0.45407	0.411328	0.340416	NC	NC	NC	NC	NC	NC	NC	NC	1	0.45407	0.411328	0.340416	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.45407	0.516513	0.302748	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.45407	0.516513	0.302748
5-phospho-ribosyl-glycineamide C7H15N2O8P	3	3	0.498193	0.753981	0.22543	1	0.636776	1.00385	0.157724	NC	NC	NC	NC	2	0.428902	0.273109	0.392385	3	0.498193	0.586726	0.278694	1	0.636776	0.897573	0.184707	NC	NC	NC	NC	2	0.428902	0.131528	0.447679	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
5'-phosphoribosyl-N-formylglycineamide C8H15N2O9P	4	6	0.539696	1.39087	0.0821324	1	0.543709	0.698099	0.242558	1	0.636776	1.00385	0.157724	4	0.514423	0.97877	0.163847	5	0.628883	1.78872	0.0368298	1	0.543709	0.592203	0.276857	1	0.636776	0.897573	0.184707	3	0.654644	1.58771	0.0561758	1	-0.0937596	-0.936169	0.825407	0	-10000	-1.#IND	1.#QNAN	0	-10000	-1.#IND	1.#QNAN	1	-0.0937596	-0.936169	0.825407
5-phosphoribosyl-N-formylglycineamidine C8H16N3O8P	3	3	0.651249	1.72413	0.0423421	NC	NC	NC	NC	1	0.543709	0.698099	0.242558	2	0.70502	1.70118	0.044455	3	0.651249	1.55942	0.0594485	NC	NC	NC	NC	1	0.543709	0.592203	0.276857	2	0.70502	1.56129	0.0592278	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
5-aminoimidazole ribonucleotide C8H14N3O7P	3	3	0.328635	-0.73879	0.769983	NC	NC	NC	NC	3	0.328635	-0.73879	0.769983	NC	NC	NC	NC	1	0.204618	-0.59713	0.72479	NC	NC	NC	NC	1	0.204618	-0.59713	0.72479	NC	NC	NC	NC	2	-0.390644	-0.401775	0.656075	NC	NC	NC	NC	2	-0.390644	-0.401775	0.656075	NC	NC	NC	NC
4-carboxyaminoimidazole ribonucleotide C9H14N3O9P	3	3	0.226679	-1.29012	0.901496	3	0.226679	-1.29012	0.901496	NC	NC	NC	NC	NC	NC	NC	NC	1	0.227853	-0.496255	0.690143	1	0.227853	-0.496255	0.690143	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.226092	-1.1332	0.871435	2	-0.226092	-1.1332	0.871435	NC	NC	NC	NC	NC	NC	NC	NC
5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole C13H19N4O12P	2	1	0.463533	0.441702	0.329353	NC	NC	NC	NC	NC	NC	NC	NC	1	0.463533	0.441702	0.329353	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.463533	0.545322	0.292766	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.463533	0.545322	0.292766
ITP	3	3	0.461235	0.435322	0.331664	1	0.708744	1.2584	0.104123	NC	NC	NC	NC	2	0.33748	-0.299834	0.617848	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	3	-0.461235	0.626839	0.265383	1	-0.708744	1.31995	0.0934263	NC	NC	NC	NC	2	-0.33748	-0.115324	0.545906
IDP	4	6	0.285028	-0.943765	0.827355	NC	NC	NC	NC	3	0.317418	-0.31053	0.621921	3	0.252639	-1.08972	0.862081	5	0.328692	-0.719128	0.763969	NC	NC	NC	NC	3	0.317418	-0.480577	0.684591	2	0.345604	-0.603076	0.726771	1	-0.0667087	-1.157	0.876363	NC	NC	NC	NC	0	-10000	-1.#IND	1.#QNAN	1	-0.0667087	-1.157	0.876363
dITP	2	1	0.608251	0.90822	0.181881	NC	NC	NC	NC	NC	NC	NC	NC	1	0.608251	0.90822	0.181881	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.608251	0.987806	0.161624	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.608251	0.987806	0.161624
dIDP	3	3	0.413449	0.0171948	0.493141	3	0.413449	0.0171948	0.493141	NC	NC	NC	NC	NC	NC	NC	NC	3	0.413449	-0.151993	0.560404	3	0.413449	-0.151993	0.560404	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
xanthosine-5-phosphate C10H13N4O9P	3	3	0.38338	-0.261531	0.603159	1	0.0137146	-2.25044	0.98779	NC	NC	NC	NC	2	0.568213	1.18737	0.11754	3	0.38338	-0.43145	0.666929	1	0.0137146	-2.35262	0.990679	NC	NC	NC	NC	2	0.568213	1.04688	0.147578	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
GMP C10H14N5O8P	6	15	0.408248	0.480946	0.315278	3	0.333724	-0.215613	0.585355	3	0.482084	0.978253	0.163974	9	0.408478	0.235149	0.407047	5	0.522956	0.751314	0.226232	0	-10000	-1.#IND	1.#QNAN	1	0.916591	2.21109	0.0135148	4	0.424547	-0.156983	0.562371	10	-0.350894	0.31425	0.376666	3	-0.333724	-0.00166726	0.500665	2	-0.26483	-0.145053	0.557666	5	-0.395622	0.549684	0.291268
dADP C10H15N5O9P2	3	3	0.413449	0.0171948	0.493141	3	0.413449	0.0171948	0.493141	NC	NC	NC	NC	NC	NC	NC	NC	3	0.413449	-0.151993	0.560404	3	0.413449	-0.151993	0.560404	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
dATP C10H16N5O12P3	9	36	0.376618	0.182106	0.42775	28	0.36883	-0.000793635	0.500317	NC	NC	NC	NC	8	0.403874	0.430289	0.333493	21	0.443028	0.684703	0.246766	16	0.408621	0.090835	0.463812	NC	NC	NC	NC	5	0.553129	1.36647	0.0858963	15	-0.283644	-0.561462	0.712759	12	-0.315776	-0.126068	0.550161	NC	NC	NC	NC	3	-0.155115	-1.09582	0.863421
dADP C10H15N5O10P2	2	1	0.522002	0.628557	0.26482	NC	NC	NC	NC	1	0.522002	0.628557	0.26482	NC	NC	NC	NC	1	0.522002	0.522749	0.300574	NC	NC	NC	NC	1	0.522002	0.522749	0.300574	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
dAMP C10H14N5O7P	2	1	0.0548583	-1.47879	0.930402	1	0.0548583	-1.47879	0.930402	NC	NC	NC	NC	NC	NC	NC	NC	1	0.0548583	-1.58194	0.943168	1	0.0548583	-1.58194	0.943168	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
5'-deoxyadenosine C10H13N5O3	3	3	0.438755	0.519603	0.30167	NC	NC	NC	NC	3	0.438755	0.519603	0.30167	NC	NC	NC	NC	2	0.56919	0.930263	0.176117	NC	NC	NC	NC	2	0.56919	0.930263	0.176117	NC	NC	NC	NC	1	-0.177885	-0.459621	0.677106	NC	NC	NC	NC	1	-0.177885	-0.459621	0.677106	NC	NC	NC	NC
dGDP C10H15N5O10P2	5	10	0.370925	0.0141695	0.494347	3	0.413449	0.0171948	0.493141	1	0.118715	-0.946386	0.828024	6	0.391697	0.348678	0.363666	8	0.325849	-0.690665	0.755112	3	0.413449	-0.151993	0.560404	1	0.118715	-1.0502	0.853188	4	0.311933	-0.41363	0.660428	2	-0.551226	1.11194	0.133083	0	-10000	-1.#IND	1.#QNAN	0	-10000	-1.#IND	1.#QNAN	2	-0.551226	1.11194	0.133083
dGMP C10H14N5O7P	3	3	0.279346	-0.477174	0.683381	1	0.0837313	-1.19979	0.88489	NC	NC	NC	NC	2	0.377154	0.207614	0.417765	1	0.313617	-0.165143	0.565584	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	1	0.313617	-0.165143	0.565584	2	-0.262211	-0.365324	0.642565	1	-0.0837313	-1.01161	0.844137	NC	NC	NC	NC	1	-0.440691	0.475644	0.317164
dGTP C10H16N5O13P3	9	36	0.421407	1.20062	0.11495	28	0.407075	0.834984	0.201863	NC	NC	NC	NC	8	0.471567	1.12265	0.130793	19	0.428327	0.771703	0.220145	14	0.383755	0.153966	0.438818	NC	NC	NC	NC	5	0.553129	1.36647	0.0858963	17	-0.413672	1.07143	0.141987	14	-0.430396	1.16194	0.122631	NC	NC	NC	NC	3	-0.335629	0.0724933	0.471105
guanosine 5'-diphosphate,3'-diphosphate C10H17N5O17P4	2	1	0.46901	0.45925	0.323027	NC	NC	NC	NC	NC	NC	NC	NC	1	0.46901	0.45925	0.323027	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.46901	0.561966	0.287069	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.46901	0.561966	0.287069
sulfate O4s	2	1	0.0762109	-1.26427	0.896933	NC	NC	NC	NC	NC	NC	NC	NC	1	0.0762109	-1.26427	0.896933	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0762109	-1.07276	0.858311	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0762109	-1.07276	0.858311
sulfite O3s	2	1	0.333658	0.0108473	0.495673	1	0.333658	0.0108473	0.495673	NC	NC	NC	NC	NC	NC	NC	NC	1	0.333658	-0.0941802	0.537517	1	0.333658	-0.0941802	0.537517	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
cyclic-AMP C10H12N5O6P	2	1	0.4984	0.553173	0.290072	NC	NC	NC	NC	1	0.4984	0.553173	0.290072	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.4984	0.651051	0.257507	NC	NC	NC	NC	1	-0.4984	0.651051	0.257507	NC	NC	NC	NC
formate CH2O2	2	1	0.0598665	-1.4233	0.922675	NC	NC	NC	NC	1	0.0598665	-1.4233	0.922675	NC	NC	NC	NC	1	0.0598665	-1.52651	0.936559	NC	NC	NC	NC	1	0.0598665	-1.52651	0.936559	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
7,8-dihydroneopterin triphosphate C9H15N5O13P3	2	1	0.184245	-0.587068	0.721421	NC	NC	NC	NC	NC	NC	NC	NC	1	0.184245	-0.587068	0.721421	1	0.184245	-0.691341	0.755324	NC	NC	NC	NC	NC	NC	NC	NC	1	0.184245	-0.691341	0.755324	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
6-hydroxymethyl-7,8-dihydropterin C7H9N5O2	2	1	0.687804	1.18188	0.118627	NC	NC	NC	NC	NC	NC	NC	NC	1	0.687804	1.18188	0.118627	1	0.687804	1.07537	0.141104	NC	NC	NC	NC	NC	NC	NC	NC	1	0.687804	1.07537	0.141104	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl diphosphate C7H11N5O8P2	2	1	0.472888	0.471663	0.318584	NC	NC	NC	NC	NC	NC	NC	NC	1	0.472888	0.471663	0.318584	1	0.472888	0.366053	0.357163	NC	NC	NC	NC	NC	NC	NC	NC	1	0.472888	0.366053	0.357163	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
p-aminobenzoate C7H7NO2	2	1	0.844444	1.8483	0.0322798	NC	NC	NC	NC	NC	NC	NC	NC	1	0.844444	1.8483	0.0322798	1	0.844444	1.74095	0.0408464	NC	NC	NC	NC	NC	NC	NC	NC	1	0.844444	1.74095	0.0408464	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
5,10-methenyltetrahydrofolate C20H23N7O6	4	6	0.385466	0.184247	0.42691	6	0.385466	0.184247	0.42691	NC	NC	NC	NC	3	0.297292	-0.487904	0.687191	1	0.636776	0.897573	0.184707	1	0.636776	0.897573	0.184707	NC	NC	NC	NC	0	-10000	0	0.5	5	-0.335204	0.0674693	0.473104	5	-0.335204	0.0674693	0.473104	NC	NC	NC	NC	3	-0.297292	-0.264575	0.604332
H-protein-lipoyllysine C8H14NOS2R	2	1	0.0639344	-1.38084	0.916336	NC	NC	NC	NC	NC	NC	NC	NC	1	0.0639344	-1.38084	0.916336	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0639344	-1.18333	0.881661	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0639344	-1.18333	0.881661
